strategy,contract_symbol,option_type,strike,expiry,quantity,mid,implied_volatility,delta,gamma,vega,theta,rho
Short Straddle,USO260612C00144000,call,144.0,2026-06-12,-1,11.73,0.6900426955283188,0.5501551802349723,0.013864468138407693,0.16373451882819715,-0.19572085635002667,0.055608813584682205
Short Straddle,USO260612P00144000,put,144.0,2026-06-12,-1,11.9,0.7476371699628328,-0.44740566382521485,0.01278623038789555,0.1636042122862114,-0.19548173511146538,-0.06284436500977966
Short Strangle,USO260612C00160000,call,160.0,2026-06-12,-1,6.83,0.7525188821403631,0.3610659448218413,0.012029618729116117,0.15492815014000796,-0.19927189361181766,0.037209722645718125
Short Strangle,USO260612P00129000,put,129.0,2026-06-12,-1,5.19,0.7303083689813884,-0.2560048222599292,0.010650232724939914,0.13311483133380203,-0.15740764197399684,-0.03462862717779343
Iron Condor,USO260612P00095000,put,95.0,2026-06-12,1,0.57,0.8779690139238766,-0.03595774562549019,0.002175027415125885,0.032681726773333565,-0.04719148160285458,-0.004733180835005964
Iron Condor,USO260612P00115000,put,115.0,2026-06-12,-1,1.8,0.7250105748093386,-0.1128183094517271,0.006383793528139459,0.07921077164568428,-0.0937330768036495,-0.014860012496739032
Iron Condor,USO260612C00175000,call,175.0,2026-06-12,-1,4.0,0.7877887017420846,0.23374204141503047,0.009401218553085535,0.1267520429196884,-0.16968101567664967,0.024434775889143823
Iron Condor,USO260612C00195000,call,195.0,2026-06-12,1,1.48,0.7662708090880059,0.10641390891549946,0.005791834574491777,0.07595554800804843,-0.09852480445658263,0.011404543088742763
Calendar Spread,USO260612C00144000,call,144.0,2026-06-12,-1,11.73,0.6900426955283188,0.5501551802349723,0.013864468138407693,0.16373451882819715,-0.19572085635002667,0.055608813584682205
Calendar Spread,USO260717C00144000,call,144.0,2026-07-17,1,16.77,0.668005414959906,0.5689102224337735,0.009660715934539774,0.23929987288421006,-0.1301230858787788,0.11633000945678684
