horizon_days,spot_move,spot,strategy_value,pnl
1,-0.05,694.8394744873046,415.08971688518733,-868.9102831148127
1,-0.02,716.7817736816406,928.1461991055878,-355.8538008944122
1,0.0,731.4099731445312,1367.4608017291405,83.46080172914048
1,0.02,746.0381726074219,1816.132361727438,532.1323617274379
1,0.05,767.9804718017579,2369.9454330773165,1085.9454330773165
7,-0.05,694.8394744873046,341.38748850614127,-942.6125114938587
7,-0.02,716.7817736816406,846.9809279234155,-437.0190720765845
7,0.0,731.4099731445312,1307.0640827808547,23.064082780854733
7,0.02,746.0381726074219,1788.8766247732176,504.8766247732176
7,0.05,767.9804718017579,2383.1719640483643,1099.1719640483643
14,-0.05,694.8394744873046,251.2214454606392,-1032.7785545393608
14,-0.02,716.7817736816406,736.3336603601219,-547.6663396398781
14,0.0,731.4099731445312,1222.9411003281625,-61.05889967183748
14,0.02,746.0381726074219,1753.724316544424,469.724316544424
14,0.05,767.9804718017579,2407.5438464797344,1123.5438464797344
21,-0.05,694.8394744873046,159.4383359312008,-1124.5616640687992
21,-0.02,716.7817736816406,602.2271928144512,-681.7728071855488
21,0.0,731.4099731445312,1116.4377748160418,-167.56222518395816
21,0.02,746.0381726074219,1713.602728989642,429.60272898964195
21,0.05,767.9804718017579,2447.4708103119438,1163.4708103119438
