underlying_price,expiry_value,pnl
585.91201171875,0.0,-1209.0
587.7429867553711,0.0,-1209.0
589.5739617919922,0.0,-1209.0
591.4049368286134,0.0,-1209.0
593.2359118652344,0.0,-1209.0
595.0668869018555,0.0,-1209.0
596.8978619384766,0.0,-1209.0
598.7288369750977,0.0,-1209.0
600.5598120117188,0.0,-1209.0
602.3907870483399,0.0,-1209.0
604.2217620849609,0.0,-1209.0
606.052737121582,0.0,-1209.0
607.8837121582031,0.0,-1209.0
609.7146871948243,0.0,-1209.0
611.5456622314454,0.0,-1209.0
613.3766372680665,0.0,-1209.0
615.2076123046875,0.0,-1209.0
617.0385873413086,0.0,-1209.0
618.8695623779297,0.0,-1209.0
620.7005374145508,0.0,-1209.0
622.5315124511719,0.0,-1209.0
624.362487487793,0.0,-1209.0
626.193462524414,0.0,-1209.0
628.0244375610351,0.0,-1209.0
629.8554125976563,0.0,-1209.0
631.6863876342774,0.0,-1209.0
633.5173626708985,0.0,-1209.0
635.3483377075196,0.0,-1209.0
637.1793127441406,0.0,-1209.0
639.0102877807617,0.0,-1209.0
640.8412628173828,0.0,-1209.0
642.6722378540039,0.0,-1209.0
644.503212890625,0.0,-1209.0
646.3341879272461,0.0,-1209.0
648.1651629638673,0.0,-1209.0
649.9961380004883,0.0,-1209.0
651.8271130371094,0.0,-1209.0
653.6580880737305,0.0,-1209.0
655.4890631103516,0.0,-1209.0
657.3200381469727,0.0,-1209.0
659.1510131835937,0.0,-1209.0
660.9819882202148,0.0,-1209.0
662.8129632568359,0.0,-1209.0
664.643938293457,0.0,-1209.0
666.4749133300782,0.0,-1209.0
668.3058883666993,0.0,-1209.0
670.1368634033204,0.0,-1209.0
671.9678384399414,0.0,-1209.0
673.7988134765625,0.0,-1209.0
675.6297885131836,0.0,-1209.0
677.4607635498047,0.0,-1209.0
679.2917385864258,0.0,-1209.0
681.1227136230469,0.0,-1209.0
682.9536886596679,0.0,-1209.0
684.784663696289,0.0,-1209.0
686.6156387329102,0.0,-1209.0
688.4466137695313,0.0,-1209.0
690.2775888061524,0.0,-1209.0
692.1085638427735,0.0,-1209.0
693.9395388793945,0.0,-1209.0
695.7705139160156,0.0,-1209.0
697.6014889526367,0.0,-1209.0
699.4324639892578,0.0,-1209.0
701.2634390258789,0.0,-1209.0
703.0944140625,0.0,-1209.0
704.925389099121,0.0,-1209.0
706.7563641357422,0.0,-1209.0
708.5873391723633,0.0,-1209.0
710.4183142089844,0.0,-1209.0
712.2492892456055,0.0,-1209.0
714.0802642822266,0.0,-1209.0
715.9112393188477,0.0,-1209.0
717.7422143554687,0.0,-1209.0
719.5731893920898,0.0,-1209.0
721.4041644287109,0.0,-1209.0
723.235139465332,0.0,-1209.0
725.0661145019532,0.0,-1209.0
726.8970895385742,0.0,-1209.0
728.7280645751953,0.0,-1209.0
730.5590396118164,0.0,-1209.0
732.3900146484375,39.00146484375,-1169.99853515625
734.2209896850586,222.0989685058612,-986.9010314941388
736.0519647216797,405.1964721679724,-803.8035278320276
737.8829397583008,588.2939758300836,-620.7060241699164
739.713914794922,771.3914794921948,-437.6085205078052
741.544889831543,954.4889831542946,-254.5110168457054
743.3758648681641,1137.5864868164058,-71.4135131835942
745.2068399047852,1320.683990478517,111.68399047851699
747.0378149414063,1503.7814941406282,294.7814941406282
748.8687899780273,1686.878997802728,477.878997802728
750.6997650146484,1869.9765014648392,660.9765014648392
752.5307400512695,2053.0740051269504,844.0740051269504
754.3617150878906,2236.1715087890616,1027.1715087890616
756.1926901245117,2419.269012451173,1210.2690124511728
758.0236651611328,2602.366516113284,1393.366516113284
759.854640197754,2785.464019775395,1576.4640197753952
761.6856152343751,2800.0,1591.0
763.5165902709961,2800.0,1591.0
765.3475653076172,2800.0,1591.0
767.1785403442383,2800.0,1591.0
769.0095153808594,2800.0,1591.0
770.8404904174805,2800.0,1591.0
772.6714654541015,2800.0,1591.0
774.5024404907226,2800.0,1591.0
776.3334155273437,2800.0,1591.0
778.1643905639648,2800.0,1591.0
779.995365600586,2800.0,1591.0
781.8263406372071,2800.0,1591.0
783.6573156738282,2800.0,1591.0
785.4882907104492,2800.0000000000005,1591.0000000000005
787.3192657470703,2800.0000000000005,1591.0000000000005
789.1502407836914,2800.0000000000005,1591.0000000000005
790.9812158203125,2800.0000000000005,1591.0000000000005
792.8121908569336,2800.0000000000005,1591.0000000000005
794.6431658935546,2800.0,1591.0
796.4741409301757,2800.0,1591.0
798.3051159667968,2800.0,1591.0
800.136091003418,2800.0,1591.0
801.9670660400391,2800.0,1591.0
803.7980410766602,2800.0,1591.0
805.6290161132813,2800.0,1591.0
807.4599911499024,2800.0,1591.0
809.2909661865234,2800.0,1591.0
811.1219412231445,2800.0,1591.0
812.9529162597656,2800.0,1591.0
814.7838912963867,2800.0,1591.0
816.6148663330077,2800.0,1591.0
818.4458413696289,2800.0,1591.0
820.27681640625,2800.0,1591.0
822.1077914428711,2800.0,1591.0
823.9387664794922,2800.0,1591.0
825.7697415161133,2800.0,1591.0
827.6007165527344,2800.0,1591.0
829.4316915893555,2800.0,1591.0
831.2626666259765,2800.0,1591.0
833.0936416625976,2800.0,1591.0
834.9246166992187,2800.0,1591.0
836.7555917358399,2800.0,1591.0
838.586566772461,2800.0,1591.0
840.417541809082,2799.999999999999,1590.999999999999
842.2485168457031,2800.0,1591.0
844.0794918823242,2800.0,1591.0
845.9104669189453,2800.0,1591.0
847.7414419555664,2800.0,1591.0
849.5724169921875,2800.0,1591.0
851.4033920288086,2800.0,1591.0
853.2343670654298,2800.0,1591.0
855.0653421020507,2800.0,1591.0
856.8963171386719,2800.0,1591.0
858.727292175293,2800.0,1591.0
860.558267211914,2800.0,1591.0
862.3892422485351,2800.0,1591.0
864.2202172851562,2800.0,1591.0
866.0511923217773,2800.0,1591.0
867.8821673583984,2800.0,1591.0
869.7131423950195,2800.0,1591.0
871.5441174316406,2800.0,1591.0
873.3750924682618,2800.0,1591.0
875.2060675048829,2800.0,1591.0
877.0370425415039,2800.0,1591.0
878.868017578125,2800.0,1591.0
